"long","lat","variety","seeding_rate","seed_spacing","speed"
-91.8463921996779,40.3775130515063,"P1498",34.3131,6.0936,3.75
-91.8463916996779,40.3775281515063,"P1498",34.3121,6.0937,3.75
-91.8463915996778,40.3775432515063,"P1498",34.3061,6.0948,3.76
-91.8463911996779,40.3775583515063,"P1498",34.2721,6.1008,3.75
-91.8463912996778,40.3775732515063,"P1498",34.2741,6.1005,3.75
-91.8463909996779,40.3775883515063,"P1498",34.3561,6.0859,3.73
-91.8463901996779,40.3776033515063,"P1498",34.3261,6.0912,3.75
-91.8463901996779,40.3776183515063,"P1498",34.3441,6.0881,3.74
-91.8463899996779,40.3776332515063,"P1498",34.3471,6.0875,3.73
-91.8463904996779,40.3776482515063,"P1498",34.3361,6.0895,3.72
-91.8463888996778,40.3776631515063,"P1498",34.3901,6.0799,3.73
-91.8463876996778,40.3776781515063,"P1498",34.3751,6.0826,3.73
-91.8463882996779,40.3776931515063,"P1498",34.3541,6.0863,3.73
-91.8463897996779,40.3777080515063,"P1498",34.3801,6.0817,3.73
-91.8463868996779,40.3777231515063,"P1498",34.4461,6.07,3.73
-91.8463861996779,40.3777380515063,"P1498",34.5021,6.0602,3.73
-91.8463879996778,40.3777530515063,"P1498",35.6171,5.8705,3.73
-91.8463864996778,40.3777680515063,"P1498",37.3311,5.6009,3.74
-91.8463859996778,40.3777831515063,"P1498",37.3621,5.5963,3.74
-91.8463874996778,40.3777981515063,"P1498",37.1471,5.6287,3.74
-91.8463874996778,40.3778131515063,"P1498",37.2111,5.619,3.74
-91.8463872996778,40.3778280515063,"P1498",37.2111,5.619,3.74
-91.8463871996778,40.3778430515063,"P1498",37.2651,5.6108,3.73
-91.8463863996779,40.3778580515063,"P1498",37.1831,5.6232,3.73
-91.8463865996778,40.3778729515063,"P1498",37.3121,5.6038,3.73
-91.8463862996778,40.3778880515063,"P1498",37.2641,5.611,3.74
-91.8463858996779,40.3779029515063,"P1498",37.2711,5.6099,3.73
-91.8463855996778,40.3779178515063,"P1498",37.2681,5.6104,3.73
-91.8463857996778,40.3779328515063,"P1498",37.2671,5.6105,3.72
-91.8463850996778,40.3779477515063,"P1498",37.2691,5.6102,3.72
-91.8463847996778,40.3779627515063,"P1498",37.2911,5.6069,3.72
-91.8463846996779,40.3779777515063,"P1498",37.2601,5.6116,3.73
-91.8463843996778,40.3779928515063,"P1498",37.2591,5.6117,3.73
-91.8463838996778,40.3780077515063,"P1498",37.2481,5.6134,3.74
-91.8463840996778,40.3780227515063,"P1498",37.2581,5.6119,3.73
-91.8463832996779,40.3780377515063,"P1498",37.2371,5.6151,3.74
-91.8463831996778,40.3780526515063,"P1498",37.2491,5.6133,3.73
-91.8463829996778,40.3780677515063,"P1498",37.2391,5.6148,3.74
-91.8463825996779,40.3780827515063,"P1498",37.2281,5.6164,3.74
-91.8463828996778,40.3780978515063,"P1498",37.2421,5.6143,3.75
-91.8463825996779,40.3781129515063,"P1498",37.2441,5.614,3.74
-91.8463823996779,40.3781279515063,"P1498",37.2271,5.6166,3.75
-91.8463825996779,40.3781429515063,"P1498",37.2401,5.6146,3.75
-91.8463821996778,40.3781580515063,"P1498",37.2551,5.6123,3.74
-91.8463819996778,40.3781731515063,"P1498",37.2361,5.6152,3.75
-91.8463819996778,40.3781882515063,"P1498",37.2491,5.6133,3.76
-91.8463816996778,40.3782034515063,"P1498",37.2581,5.6119,3.75
-91.8463818996779,40.3782216515063,"P1498",37.2221,5.6173,3.96
-91.8463810996778,40.3782399515063,"P1498",36.8771,5.6699,4.57
-91.8463814996778,40.3782592515063,"P1498",36.7081,5.696,4.64
-91.8463808996779,40.3782783515063,"P1498",36.6001,5.7128,4.71
-91.8463802996778,40.3782973515063,"P1498",35.5441,5.8825,4.74
-91.8463800996778,40.3783163515063,"P1498",34.7641,6.0145,4.75
-91.8463800996778,40.3783352515063,"P1498",34.1251,6.1271,4.72
-91.8463793996778,40.3783542515063,"P1498",34.4861,6.063,4.72
-91.8463791996779,40.3783733515063,"P1498",34.4971,6.061,4.74
-91.8463792996778,40.3783922515063,"P1498",34.4861,6.063,4.73
-91.8463785996778,40.3784111515063,"P1498",34.4731,6.0653,4.73
-91.8463779996779,40.3784301515063,"P1498",34.4871,6.0628,4.71
-91.8463777996779,40.3784491515063,"P1498",34.4341,6.0721,4.72
-91.8463770996779,40.3784680515063,"P1498",34.3941,6.0792,4.72
-91.8463765996779,40.3784870515063,"P1498",34.3791,6.0819,4.72
-91.8463761996778,40.3785059515063,"P1498",34.4011,6.078,4.72
-91.8463756996778,40.3785249515063,"P1498",34.4381,6.0714,4.73
-91.8463753996779,40.3785439515063,"P1498",34.3711,6.0833,4.73
-91.8463745996778,40.3785629515063,"P1498",34.3831,6.0811,4.73
-91.8463740996778,40.3785821515063,"P1498",34.3311,6.0904,4.74
-91.8463731996778,40.3786010515063,"P1498",34.3151,6.0932,4.74
-91.8463731996778,40.3786200515063,"P1498",34.2921,6.0973,4.74
-91.8463719996778,40.3786391515063,"P1498",34.3041,6.0951,4.74
-91.8463720996779,40.3786581515063,"P1498",34.3311,6.0904,4.75
-91.8463716996778,40.3786772515063,"P1498",34.2981,6.0962,4.75
-91.8463715996779,40.3786962515063,"P1498",34.2991,6.096,4.74
-91.8463712996779,40.3787152515063,"P1498",34.3231,6.0918,4.74
-91.8463712996779,40.3787344515063,"P1498",34.2981,6.0962,4.74
-91.8463709996778,40.3787533515063,"P1498",34.3251,6.0914,4.74
-91.8463704996778,40.3787725515063,"P1498",34.3341,6.0898,4.75
-91.8463702996778,40.3787916515063,"P1498",34.2891,6.0978,4.75
-91.8463701996778,40.3788105515063,"P1498",34.3021,6.0955,4.75
-91.8463697996778,40.3788296515063,"P1498",34.3031,6.0953,4.74
